evidence_id,campaign_id,test_id,data_hora,caminho,tipo,formato,sha256,gerado_por,descricao,observacoes
repetition-0001,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-00.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0002,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-01.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0003,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-02.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0004,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-03.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0005,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-04.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0006,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-08.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0007,repetition,REP-DET-001,2026-07-14T07:06:02.661Z,artifacts/REP-DET-001/run-09.stl,geometria,stl,6716de73537a092aba77c7ce1d7e5e793ac5d3c99bf1b585e7811d6c9552a269,automated,,
repetition-0008,repetition,REP-DET-002,2026-07-14T07:06:02.661Z,artifacts/REP-DET-002/run-00.stl,geometria,stl,4becd145da8bdd49da1b5651657f5001497fca805c165c2282aceb19c07172aa,automated,,
repetition-0009,repetition,REP-DET-002,2026-07-14T07:06:02.661Z,artifacts/REP-DET-002/run-01.stl,geometria,stl,4becd145da8bdd49da1b5651657f5001497fca805c165c2282aceb19c07172aa,automated,,
repetition-0010,repetition,REP-DET-002,2026-07-14T07:06:02.661Z,artifacts/REP-DET-002/run-02.stl,geometria,stl,4becd145da8bdd49da1b5651657f5001497fca805c165c2282aceb19c07172aa,automated,,
